step,inner_opt_step,loss,perplexity,lr,grad_norm,tokens_per_second,moe_routing_entropy,c4_loss,nemotron_loss,aux_loss,expert_group_name
0,0,4.512679642952608,91.16578324394678,0.001,0.3249235574152197,4551.379367962326,2.330366075764622,4.614662479564774,4.351471866838343,0.0406458479745322,group_0
1,1,4.514051462382461,91.29093205789952,0.000999996173684029,0.6916593087452224,4401.360966615418,2.3130325692429774,4.595398610452423,4.343166872169092,0.05126147369645998,group_0
2,2,4.525527757208194,92.34464852454698,0.0009999846947952701,0.7936083189765566,4459.972933643239,2.3409735275049584,4.632597263535133,4.380730837362969,0.04741788666432007,group_0
3,3,4.492163801562948,89.31449578806871,0.0009999655635111854,0.8274776286687433,4456.874435163676,2.2956518610897483,4.573304414068104,4.319686583740029,0.045952831779662764,group_0
4,4,4.473922734023616,87.70007319843903,0.000999938780127542,0.33696302366383424,4554.337401534984,2.303459112641416,4.563376174576618,4.281218699674058,0.05201698421541082,group_0
5,5,4.426408188048102,83.63049180059589,0.0009999043450584072,0.3504954396987758,4653.912195627065,2.3029458217018126,4.513458246910138,4.258903007935224,0.05721648793052792,group_0
6,6,4.453205149737558,85.90183147172132,0.0009998622588361424,0.47010864135101,4551.362649111726,2.3122288491564307,4.552671047471079,4.318007819565803,0.05036276608086786,group_0
7,7,4.458828041963177,86.38620873643919,0.000999812522111395,0.4148831191101938,4579.611486256384,2.289505226958153,4.54991964075516,4.320554695438305,0.04507391351111631,group_0
8,8,4.411883104542387,82.42453146339167,0.000999755135653088,0.6461686516559848,4576.985415556655,2.3279955789673963,4.527129572609875,4.2504067439604665,0.05742566131897336,group_0
9,9,4.4258123226855,83.58067413106043,0.0009996901003484079,0.2195521637801563,4535.946777901323,2.3270076096753147,4.533605512147775,4.283942900763689,0.055506912454841704,group_0
10,10,4.325572495700017,75.60878617662041,0.0009996174172027916,0.5569680028994454,4437.391109655248,2.285261864471513,4.418408218617029,4.1907583855117325,0.04983785865626459,group_0
11,11,4.406605944726355,81.99070971820854,0.0009995370873399107,0.3322775505155863,4560.531844738417,2.310753895244742,4.488744210008651,4.2539593592205245,0.050968947538819746,group_0
12,12,4.399382861873337,81.40061773594215,0.0009994491120016535,0.5887604926885807,4405.098662986022,2.244322330537232,4.51391293374864,4.244432083852418,0.0450848673821041,group_0
13,13,4.351844241572009,77.6214837694791,0.000999353492548107,0.48209250105568885,4546.701310239661,2.2880360016007297,4.424671888866875,4.174538444623979,0.04567004078862512,group_0
14,14,4.366775310270371,78.78915104333022,0.0009992502304575347,0.6377170720785232,4478.50947948582,2.2483202284197406,4.4875103184910445,4.224619246398282,0.04875549865589035,group_0
